GA00071225394	GA00974685019
GA00880351702	GA00963768346
GA00880353292	
GA00880354302	
GA00880355082	GA00974535602
GA00880356372	GA00979142943
GA00880356542	
GA00880356992	GA00980890333
GA00880359002	
GA00880359142	
GA00880360272	GA00989107801
GA00880360302	
GA00880360752	GA00921329717
GA00880360922	GA00968658700
GA00880362712	
GA00880363492	
GA00880363522	
GA00880364472	
GA00880364502	
GA00880364782	
GA00880365002	
GA00880366882	GA00989024248
GA00880367072	
GA00880368362	GA00989162217
GA00880369172	GA00989161733
GA00880369652	
GA00880369792	
GA00880369962	
GA00880370952	
GA00880371932	
GA00880373102	GA00979490992
GA00880373242	
GA00880374362	GA00979417160
GA00880374702	
GA00880375792	
GA00880376012	
GA00880376152	GA00989121847
GA00880376802	GA00989022946
GA00880377922	
GA00880378082	
GA00880378732	GA00989961128
GA00880379542	
GA00880379682	GA00976300432
GA00880379712	
GA00880379992	GA00989953796
GA00880380192	GA00952391992
GA00880380222	
GA00880380362	GA00856893162
GA00880380532	GA00820626052
GA00880381962	GA00989145436
GA00880382012	
GA00880382152	GA00989284983
GA00880383442	
GA00880383752	
GA00880383922	GA00989231812
GA00880384082	
GA00880384252	
GA00880384872	GA00982740193
GA00880385062	
GA00880385712	
GA00880386522	
GA00880386972	
GA00880387022	
GA00880387502	GA00910672789
GA00880387642	GA00989030922
GA00880388002	
GA00880388312	
GA00880388932	GA00912847888
GA00880389432	GA00980389405
GA00880390252	
GA00880391062	
GA00880392042	
GA00880392492	
GA00880394592	
GA00880395092	
GA00880395122	
GA00880395262	
GA00880395432	
GA00880395602	GA00989087916
GA00880395882	GA00989182692
GA00880396072	GA00977070902
GA00880396102	
GA00880396382	GA00861989542
GA00880397192	GA00989236423
GA00880397532	GA00958414552
GA00880397842	
GA00880398342	
GA00880398792	
GA00880398962	GA00890651372
GA00880399012	
GA00880399292	
GA00880399322	
GA00880399462	GA00988828874
GA00880399632	
GA00880399772	
GA00880399942	
GA00880400592	GA00914954894
GA00880400622	
GA00880400762	
GA00880401092	GA00988902187
GA00880401432	
GA00880401742	
GA00880401912	
GA00880402412	
GA00880402552	
GA00880403192	GA00811413682
GA00880403842	
GA00880403982	GA00883895142
GA00880404172	
GA00880404482	
GA00880405012	GA00912516296
GA00880405152	
GA00880405322	GA00989204416
GA00880405462	
GA00880405802	
GA00880405942	
GA00880406582	GA00894973242
GA00880406752	
GA00880406892	
GA00880407112	GA00975918947
GA00880407562	GA00989087878
GA00880407732	
GA00880407872	GA00989144936
GA00880408062	GA00954056961
GA00880408402	GA00988939153
GA00880408542	GA00989225472
GA00880408682	GA00989227734
GA00880408992	
GA00880409182	GA00989237691
GA00880409212	
GA00880409492	GA00988930032
GA00880409972	GA00995197782
GA00880410202	GA00960865952
GA00880410792	
GA00880411292	
GA00880411322	
GA00880411632	GA00990028230
GA00880411942	
GA00880412582	
GA00880413112	
GA00880413732	GA00957810772
GA00880413872	GA00889219882
GA00880414992	
GA00880415182	
GA00880415522	
GA00880416162	GA00989278703
GA00880417592	
GA00880418122	
GA00880418742	GA00988891703
GA00880419552	
GA00880422642	
GA00880422812	
GA00880422952	
GA00880423002	GA00980863832
GA00880426532	
GA00880426672	GA00980080099
GA00880428152	
GA00880428802	GA00979693745
GA00880428942	
GA00880430092	GA00989190369
GA00880430432	
GA00880432362	
GA00880433032	
GA00880435612	
GA00880435892	
GA00880436112	GA00960990250
GA00880439022	
GA00880439332	GA00990022372
GA00880441752	
GA00880442112	
GA00880443062	
GA00880445162	
GA00880449052	
GA00880449192	GA00989185594
GA00880449672	
GA00880450492	GA00929380371
GA00880452452	GA00959718393
GA00880452622	
GA00880468812	
GA00880472062	
GA00880475142	
GA00880475622	GA00989223976
GA00880476122	GA00989107291
GA00880476262	
GA00880478052	GA00989166093
GA00880478982	
GA00880479032	
GA00880479482	
GA00880481002	
GA00880484362	
GA00880484842	GA00946219983
GA00880485652	
GA00880486152	GA00931799282
GA00880486632	
GA00880489852	GA00980489876
GA00880490842	GA00989148044
GA00880499092	
GA00880499742	
GA00880499912	
GA00880500112	
GA00880500422	
GA00880501712	GA00993011150
GA00880502352	
GA00880502492	
GA00880505742	
GA00880505882	
GA00880508342	
GA00880511602	
GA00880511882	
GA00880513532	GA00948762404
GA00880515292	GA00989066900
GA00880517112	
GA00880520482	
GA00880520962	GA00965292888
GA00880522892	
GA00880523732	
GA00880524992	GA00979673868
GA00880526472	
GA00880526642	GA00989099310
GA00880535242	GA00890958842
GA00880537962	
GA00880540432	GA00957532535
GA00880540572	
GA00880544322	
GA00880544942	
GA00880546112	
GA00880553852	GA00916591144
GA00880554042	
GA00880556142	
GA00880557882	GA00970977368
GA00880561782	
GA00880562452	GA00988739650
GA00880564382	
GA00880568612	
GA00880569082	
GA00880574442	GA00945907916
GA00880578812	
GA00880579452	GA00968275011
GA00880580302	GA00989078399
GA00880582992	GA00877563472
GA00880589652	GA00981165349
GA00880593692	
GA00880595172	
GA00880598872	
GA00880601482	GA00981085000
GA00880604252	
GA00880604732	
GA00880604902	
GA00880607952	GA00988889342
GA00880608592	
GA00880615742	GA00940459400
GA00880622722	GA00991014403
GA00880629352	GA00992814373
GA00880629522	
GA00880632132	GA00933650499
GA00880632442	
GA00880632922	
GA00880636502	
GA00880637932	
GA00880638432	
GA00880638882	
GA00880639072	
GA00880644092	
GA00880644122	
GA00880645242	
GA00880646532	
GA00880647202	GA00980400751
GA00880648012	
GA00880648152	
GA00880649272	GA00992130318
GA00880650092	
GA00880650262	
GA00880654292	GA00916218753
GA00880656562	GA00988965715
GA00880658972	
GA00880664042	
GA00880667262	
GA00880667432	
GA00880667882	
GA00880669702	
GA00880670212	GA00981532910
GA00880670832	GA00989063294
GA00880675192	GA00968281356
GA00880675222	GA00987569239
GA00880675362	
GA00880677292	
GA00880680552	GA00940449901
GA00880680692	GA00975950719
GA00880681052	GA00989024825
GA00880682962	
GA00880685252	
GA00880687352	
GA00880688162	
GA00880688812	
GA00880691902	
GA00880692062	
GA00880692372	
GA00880693662	
GA00880700642	
GA00880700952	GA00989185462
GA00880704192	
GA00880704532	GA00984884176
GA00880704982	GA00979973217
GA00880705652	
GA00880705792	
GA00880708872	
GA00880710982	
GA00880711342	
GA00880711792	
GA00880711822	GA00989259784
GA00880712802	
GA00880714252	
GA00880714392	
GA00880716492	GA00968586238
GA00880716522	
GA00880718312	
GA00880719602	GA00958234864
GA00880723812	GA00977535336
GA00880725912	GA00988971545
GA00880726102	GA00935162440
GA00880728202	GA00989219073
GA00880728652	
GA00880728792	GA00984046243
GA00880731092	
GA00880732692	
GA00880734652	GA00979454910
GA00880738712	
GA00880747622	
GA00880750712	GA00984369735
GA00880751212	GA00893216022
GA00880752502	
GA00880755242	
GA00880756052	GA00982842336
GA00880756222	
GA00880760742	
GA00880762532	
GA00880764462	
GA00880768972	
GA00880769332	
GA00880771442	
GA00880771922	GA00979899114
GA00880773992	GA00912051625
GA00880775952	GA00994802186
GA00880776142	
GA00880782622	
GA00880782932	
GA00880783602	
GA00880783882	GA00988929166
GA00880784242	
GA00880790072	
GA00880794442	GA00989041363
GA00880796372	GA00970892257
GA00880797662	
GA00880800892	
GA00880801112	
GA00880805932	
GA00880806882	
GA00880807552	
GA00880808842	
GA00880810782	GA00988791628
GA00880811312	
GA00880814192	
GA00880815032	
GA00880815342	GA00988742252
GA00880815822	
GA00880817582	
GA00880818392	
GA00880818562	
GA00880818872	
GA00880823272	GA00989035649
GA00880823442	
GA00880823582	
GA00880824562	GA00976795423
GA00880824872	GA00980824810
GA00880825542	GA00984077912
GA00880827952	GA00989204416
GA00880834002	
GA00880837052	
GA00880838482	
GA00880841602	GA00888936742
GA00880843362	GA00933376982
GA00880843532	
GA00880844202	GA00989103644
GA00880844652	
GA00880849212	
GA00880850512	GA00960031636
GA00880851152	
GA00880853252	GA00988965472
GA00880854062	
GA00880854372	GA00989146521
GA00880855832	
GA00880856472	
GA00880856642	GA00980755797
GA00880859552	GA00977172047
GA00880859722	
GA00880859862	GA00989137484
GA00880860232	
GA00880860852	
GA00880862162	
GA00880863002	
GA00880864882	GA00989135473
GA00880866702	GA00881416662
GA00880867792	
GA00880869442	
GA00880871412	GA00979121938
GA00880871552	
GA00880872192	
GA00880875582	GA00986389563
GA00880875612	GA00989104136
GA00880876872	
GA00880878522	
GA00880880462	
GA00880880772	
GA00880880942	GA00980880893
GA00880882732	
GA00880882872	
GA00880882902	GA00980364070
GA00880885022	GA00983072208
GA00880888242	
GA00880890972	
GA00880893092	
GA00880893122	
GA00880893572	
GA00880895222	
GA00880895842	
GA00880897152	GA00979476256
GA00880898612	
GA00880900692	
GA00880901842	
GA00880903322	
GA00880907352	
GA00880909312	GA00989233262
GA00880910302	GA00936536611
GA00880910612	
GA00880911392	GA00988683280
GA00880912062	
GA00880912232	
GA00880912542	GA00985215766
GA00880913662	GA00984829922
GA00880918702	
GA00880919032	
GA00880921622	
GA00880923862	
GA00880926942	
GA00880928252	
GA00880929682	
GA00880929992	
GA00880930362	
GA00880930532	GA00980737292
GA00880932802	GA00967895113
GA00880932942	GA00916763476
GA00880936212	
GA00880937162	
GA00880939882	
GA00880940082	
GA00880941372	
GA00880946552	GA00961540526
GA00880951122	
GA00880951602	
GA00880959212	GA00989181521
GA00880959492	GA00968329618
GA00880961632	GA00989058134
GA00880963392	
GA00880964992	
GA00880971522	
GA00880973002	
GA00880975552	
GA00880976982	
GA00880981242	
GA00880982702	GA00989072986
GA00880983342	GA00989053299
GA00880984292	
GA00880993062	GA00926061828
GA00880995022	
GA00880996142	GA00939572147
GA00880998412	
GA00881004682	GA00937819927
GA00881008572	
GA00881009862	GA00987921331
GA00881014602	
GA00881019302	
GA00881019922	
GA00881020572	
GA00881023792	
GA00881023822	
GA00881025132	
GA00881026562	GA00989274643
GA00881031612	
GA00881031922	
GA00881033712	
GA00881036932	
GA00881037742	
GA00881038412	
GA00881038692	
GA00881043882	
GA00881044412	
GA00881044552	GA00975907708
GA00881045192	
GA00881048612	
GA00881050862	GA00989059874
GA00881053322	
GA00881059312	
GA00881066882	
GA00881067382	
GA00881070812	
GA00881071592	
GA00881072572	GA00988987042
GA00881074192	GA00958977670
GA00881075512	GA00952555014
GA00881075962	
GA00881076012	GA00979417152
GA00881076152	GA00988948063
GA00881076942	
GA00881078112	
GA00881078392	GA00889143932
GA00881079852	
GA00881085682	GA00832274062
GA00881087782	GA00988617105
GA00881088622	
GA00881088762	
GA00881088932	GA00987663685
GA00881089092	
GA00881089602	
GA00881090902	
GA00881091712	
GA00881092832	GA00889042702
GA00881094002	
GA00881094142	GA00989032658
GA00881095602	
GA00881097842	GA00937452071
GA00881097982	
GA00881103842	
GA00881104202	
GA00881106892	
GA00881108402	GA00989050222
GA00881109212	GA00881078392
GA00881110962	GA00981503864
GA00881112132	GA00977343356
GA00881112922	
GA00881115492	GA00963339127
GA00881116782	GA00868234202
GA00881120372	GA00953163373
GA00881122332	
GA00881122812	
GA00881123592	
GA00881125382	
GA00881126192	GA00989425250
GA00881127032	
GA00881128152	
GA00881129922	
GA00881130262	
GA00881133172	
GA00881135132	GA00988898724
GA00881135922	GA00881135892
GA00881138352	
GA00881139812	GA00977518334
GA00881145022	
GA00881145502	
GA00881146312	GA00835259072
GA00881151332	
GA00881151812	
GA00881153262	
GA00881154242	
GA00881154412	GA00881154412
GA00881156482	
GA00881160552	GA00931061194
GA00881160692	GA00989048988
GA00881160862	
GA00881164132	
GA00881164752	
GA00881165082	
GA00881165392	
GA00881166712	
GA00881167832	
GA00881168162	
GA00881169762	GA00933451941
GA00881171252	
GA00881174502	
GA00881174642	GA00965713166
GA00881174782	GA00989254898
GA00881174812	GA00989093878
GA00881177722	
GA00881181282	
GA00881187132	
GA00881187302	
GA00881195372	GA00985181160
GA00881195852	GA00995344068
GA00881196042	
GA00881197472	
GA00881197782	
GA00881198282	
GA00881198592	
GA00881200422	
GA00881203162	
GA00881204592	
GA00881208792	GA00882366812
GA00881209942	
GA00881213982	
GA00881214202	
GA00881214822	
GA00881215942	
GA00881225492	GA00980231046
GA00881225522	
GA00881232502	
GA00881233762	GA00938164444
GA00881237202	GA00985337624
GA00881237962	
GA00881238292	
GA00881240262	
GA00881248182	
GA00881250772	GA00979914504
GA00881251302	
GA00881251922	GA00986165843
GA00881252872	GA00888972382
GA00881253062	
GA00881254662	
GA00881254972	
GA00881256592	GA00981252438
GA00881256622	
GA00881261812	GA00916345372
GA00881263122	
GA00881264102	GA00939016309
GA00881266822	
GA00881267462	GA00974398087
GA00881269392	
GA00881269732	
GA00881270552	GA00991781986
GA00881273152	GA00989262319
GA00881276682	
GA00881281392	
GA00881288362	GA00968477773
GA00881288702	GA00980884961
GA00881289792	
GA00881291142	
GA00881295482	
GA00881298902	GA00951757756
GA00881300052	
GA00881303442	
GA00881305372	
GA00881305852	
GA00881306832	GA00988836095
GA00881308932	
GA00881309122	
GA00881311372	GA00991837515
GA00881312042	
GA00881314622	
GA00881315912	
GA00881320282	
GA00881320452	
GA00881328542	GA00814275272
GA00881331012	
GA00881331802	
GA00881336812	
GA00881337452	GA00913374215
GA00881339072	
GA00881339552	
GA00881342782	GA00913398033
GA00881343142	GA00989224328
GA00881343282	GA00976799542
GA00881345552	
GA00881345862	
GA00881349442	
GA00881352842	GA00981420896
GA00881353482	
GA00881353512	GA00933149048
GA00881354772	
GA00881358832	
GA00881359782	
GA00881362872	GA00914780152
GA00881362902	GA00991974121
GA00881366592	GA00932668408
GA00881367092	GA00981387120
GA00881368412	
GA00881368722	
GA00881368862	
GA00881370972	GA00938334366
GA00881375192	GA00988984795
GA00881375532	
GA00881376482	
GA00881381362	
GA00881381982	
GA00881385112	
GA00881385562	GA00989754157
GA00881388782	
GA00881389452	GA00848155632
GA00881389622	GA00989557807
GA00881390442	
GA00881390582	GA00913487222
GA00881391082	
GA00881391252	
GA00881394162	GA00988724726
GA00881397072	GA00987168005
GA00881398702	
GA00881400022	GA00988461008
GA00881400162	
GA00881400642	
GA00881401282	GA00936946348
GA00881401452	
GA00881401932	
GA00881402912	
GA00881403102	GA00935711320
GA00881403722	GA00971231386
GA00881404192	GA00889259582
GA00881404532	
GA00881405032	
GA00881405792	GA00989120514
GA00881406292	GA00989175688
GA00881407132	
GA00881407612	GA00893552162
GA00881407752	
GA00881407892	
GA00881408112	
GA00881408252	GA00968150383
GA00881409992	
GA00881410052	
GA00881410362	
GA00881411202	
GA00881411342	
GA00881411792	
GA00881412632	GA00930192503
GA00881412942	
GA00881414392	GA00981414454
GA00881416662	
GA00881418312	
GA00881420082	
GA00881420902	
GA00881424932	
GA00881428792	GA00988755796
GA00881428962	GA00991445560
GA00881433842	GA00966581972
GA00881436272	
GA00881437872	
GA00881438402	GA00964263787
GA00881439972	
GA00881440202	
GA00881440482	
GA00881440792	GA00967720968
GA00881441802	
GA00881442132	
GA00881442272	
GA00881442302	
GA00881445832	GA00978637256
GA00881449862	GA00989169769
GA00881452642	GA00836273982
GA00881454882	
GA00881456982	
GA00881457342	GA00981457161
GA00881457962	
GA00881458012	GA00981457161
GA00881459442	GA00991126090
GA00881466562	
GA00881469162	
GA00881470322	GA00968067591
GA00881470632	
GA00881475022	
GA00881475162	GA00871028362
GA00881477262	GA00981477227
GA00881477742	GA00989192973
GA00881478072	
GA00881479362	
GA00881480182	GA00915070434
GA00881482932	
GA00881483262	GA00989074520
GA00881483432	
GA00881483602	
GA00881486822	GA00975992217
GA00881487632	
GA00881488272	
GA00881488302	
GA00881489392	GA00933660176
GA00881490072	
GA00881491052	GA00989142267
GA00881493462	GA00931379968
GA00881498022	GA00889127392
GA00881498782	GA00947963996
GA00881501902	
GA00881504952	
GA00881505002	
GA00881505592	GA00981390784
GA00881509032	GA00980748669
GA00881509792	
GA00881510472	GA00937701594
GA00881510642	
GA00881510782	
GA00881513722	GA00990248435
GA00881514192	GA00974529645
GA00881515032	
GA00881519682	
GA00881520532	GA00980862860
GA00881522152	GA00914224314
GA00881527502	GA00994428519
GA00881527642	GA00977390567
GA00881531402	
GA00881533022	GA00956238900
GA00881535602	GA00821596572
GA00881537982	
GA00881539632	GA00879904412
GA00881539942	
GA00881541882	
GA00881541912	GA00988924490
GA00881542412	
GA00881542692	
GA00881545012	
GA00881548062	GA00981548043
GA00881548232	GA00988689394
GA00881548852	
GA00881553252	GA00989252976
GA00881553902	
GA00881556782	GA00959707545
GA00881558262	
GA00881559242	GA00980647714
GA00881559692	GA00992229667
GA00881559722	
GA00881562642	GA00974534630
GA00881563282	
GA00881563762	
GA00881564262	
GA00881567342	
GA00881568772	
GA00881575752	
GA00881585952	
GA00881588722	
GA00881595222	
GA00881595362	
GA00881596652	GA00978635288
GA00881596822	GA00963261268
GA00881598612	
GA00881599732	GA00989171100
GA00881602342	GA00888938702
GA00881602822	
GA00881602962	
GA00881603462	GA00987646861
GA00881604272	
GA00881604582	
GA00881608642	
GA00881610922	
GA00881612992	
GA00881613662	GA00988694010
GA00881614332	
GA00881621312	
GA00881623412	GA00880860232
GA00881623552	GA00935243351
GA00881623722	
GA00881625342	
GA00881627132	
GA00881628082	
GA00881628872	GA00944756388
GA00881630052	GA00919943580
GA00881631962	
GA00881634082	
GA00881634112	
GA00881634392	
GA00881635682	
GA00881636492	GA00989148761
GA00881637332	
GA00881637642	
GA00881642212	GA00975960714
GA00881642662	
GA00881643332	GA00971075295
GA00881645742	
GA00881646692	GA00974464683
GA00881647362	GA00889867582
GA00881652862	
GA00881653192	GA00886581432
GA00881657422	
GA00881657562	
GA00881657902	
GA00881663112	
GA00881668742	
GA00881671662	
GA00881674572	GA00992345365
GA00881674602	
GA00881676192	
GA00881677512	
GA00881678802	GA00989076965
GA00881681692	GA00989018337
GA00881683172	
GA00881686112	
GA00881687682	GA00889245832
GA00881689162	
GA00881690152	
GA00881692732	GA00929158318
GA00881693062	GA00989496409
GA00881695162	GA00976532813
GA00881696142	GA00963877811
GA00881698102	
GA00881698692	
GA00881699702	GA00988902756
GA00881704242	
GA00881704862	GA00980424529
GA00881705702	
GA00881705842	
GA00881708892	
GA00881708922	
GA00881710072	
GA00881722712	
GA00881729202	
GA00881736802	
GA00881755122	
GA00881757842	
GA00881763222	
GA00881768852	
GA00881785072	
GA00881796422	
GA00881805812	
GA00881811812	
GA00881830272	
GA00881834642	
GA00881835622	
GA00881857782	
GA00881860902	
GA00881864282	
GA00881868652	GA00865419732
GA00881868962	
GA00881870592	
GA00881874962	
GA00881875012	
GA00881875462	GA00987648201
GA00881876302	GA00979111622
GA00881876612	
GA00881881322	
GA00881882272	
GA00881882302	GA00988972185
GA00881883422	
GA00881884372	
GA00881885972	
GA00881886472	
GA00881887452	
GA00881887762	
GA00881889382	
GA00881889862	
GA00881890372	
GA00881891042	
GA00881892642	
GA00881892782	GA00937014503
GA00881893932	
GA00881894742	GA00979136625
GA00881896192	
GA00881896362	
GA00881896702	
GA00881897172	GA00983038328
GA00881898632	
GA00881901382	GA00981901339
GA00881902842	
GA00881903202	
GA00881904322	
GA00881907712	GA00989056999
GA00881911892	GA00987644044
GA00881915812	GA00970983074
GA00881916002	GA00989074296
GA00881917122	
GA00881917572	GA00981547128
GA00881917602	
GA00881919192	
GA00881920182	
GA00881921022	GA00976577426
GA00881922142	GA00994815741
GA00881922282	
GA00881923882	
GA00881924072	
GA00881925192	
GA00881925982	
GA00881926202	GA00992852348
GA00881928612	GA00979288662
GA00881930692	
GA00881932512	
GA00881932792	GA00991609288
GA00881932962	
GA00881933632	GA00830673822
GA00881935082	GA00989264001
GA00881935112	GA00989002503
GA00881936852	
GA00881937212	GA00981695747
GA00881937492	
GA00881940442	GA00981940423
GA00881940612	GA00989345494
GA00881941732	
GA00881942402	GA00981942396
GA00881945762	
GA00881945932	GA00912659089
GA00881948192	
GA00881948222	
GA00881948362	
GA00881949482	
GA00881952882	
GA00881955202	
GA00881955962	
GA00881956942	
GA00881957302	
GA00881957582	
GA00881959232	
GA00881960702	GA00930658413
GA00881961032	
GA00881962772	
GA00881969432	GA00981969286
GA00881969912	GA00979328087
GA00881971682	
GA00881972042	GA00989208381
GA00881972972	GA00979543999
GA00881973162	GA00982722322
GA00881984482	
GA00881986132	
GA00881987252	
GA00881989492	GA00928275418
GA00881989662	
GA00881991012	
GA00881991462	
GA00881992582	GA00981992547
GA00881995832	
GA00881996332	
GA00882001652	GA00982395364
GA00882001962	
GA00882006972	
GA00882007162	
GA00882007812	
GA00882008622	
GA00882010562	
GA00882010872	GA00995377934
GA00882011372	GA00983193714
GA00882013952	
GA00882014142	
GA00882016862	
GA00882020622	
GA00882022412	
GA00882022552	
GA00882023702	
GA00882025462	
GA00882026612	GA00936838677
GA00882028062	
GA00882032272	
GA00882032612	GA00989196871
GA00882036022	
GA00882042022	
GA00882044742	
GA00882044882	
GA00882045102	
GA00882048152	GA00964111723
GA00882062902	
GA00882063712	
GA00882064042	
GA00882064352	GA00939552316
GA00882066932	GA00995495295
GA00882067092	GA00989284568
GA00882067122	
GA00882067602	GA00889225262
GA00882069222	
GA00882071162	
GA00882072002	GA00982071976
GA00882075532	GA00989093738
GA00882076962	
GA00882077942	GA00989162209
GA00882078612	
GA00882078752	GA00988630985
GA00882079732	
GA00882083942	
GA00882084272	
GA00882086852	
GA00882088952	
GA00882092372	
GA00882092852	
GA00882093492	GA00983200168
GA00882096882	
GA00882098532	
GA00882099172	
GA00882100502	GA00936647774
GA00882102262	GA00994202316
GA00882104192	GA00989264109
GA00882106012	GA00945724579
GA00882111172	
GA00882111202	GA00982735459
GA00882111822	
GA00882112942	
GA00882116492	
GA00882116522	
GA00882121852	GA00989261614
GA00882122352	
GA00882123022	
GA00882123502	
GA00882128342	
GA00882129462	
GA00882129632	
GA00882132382	
GA00882136752	GA00989159844
GA00882137902	GA00989176544
GA00882141012	
GA00882141802	
GA00882142302	GA00950906499
GA00882145182	
GA00882145212	GA00982479975
GA00882145352	
GA00882146472	
GA00882147002	
GA00882147282	GA00921207905
GA00882147622	
GA00882147932	
GA00882150232	
GA00882151662	
GA00882153002	GA00911812835
GA00882153142	
GA00882155242	
GA00882157482	
GA00882159302	
GA00882160602	
GA00882162672	
GA00882164322	GA00937852843
GA00882165442	
GA00882165752	GA00989192027
GA00882166082	GA00989228307
GA00882168492	GA00987820217
GA00882168832	
GA00882169162	
GA00882170012	
GA00882170462	GA00960684737
GA00882170772	
GA00882172732	GA00989226126
GA00882173372	GA00989645552
GA00882174182	GA00863503922
GA00882174832	
GA00882175782	GA00989007114
GA00882175812	GA00989007114
GA00882178552	GA00990600600
GA00882178692	
GA00882178722	GA00968930451
GA00882179362	GA00919939389
GA00882183092	
GA00882183432	
GA00882186822	
GA00882190382	
GA00882192792	
GA00882193152	GA00885221602
GA00882193462	
GA00882193772	GA00875871862
GA00882195112	GA00983218083
GA00882197182	
GA00882198162	
GA00882201252	GA00982268443
GA00882207412	GA00990224978
GA00882210502	
GA00882210782	
GA00882211932	
GA00882212602	
GA00882213552	GA00989147536
GA00882214222	GA00989227637
GA00882216012	
GA00882218252	
GA00882220672	GA00992079355
GA00882221482	
GA00882221822	
GA00882222012	GA00988435465
GA00882224872	
GA00882225232	
GA00882226042	
GA00882227022	GA00985866848
GA00882227642	
GA00882230252	
GA00882230872	
GA00882231372	GA00963794401
GA00882234622	
GA00882235262	
GA00882236722	
GA00882236862	
GA00882237362	
GA00882239152	GA00989023713
GA00882241602	
GA00882244822	
GA00882247082	
GA00882250512	
GA00882250822	
GA00882253562	GA00975988244
GA00882257312	
GA00882258572	
GA00882258742	GA00882236862
GA00882258882	GA00987669519
GA00882259382	
GA00882260542	
GA00882261832	
GA00882263282	GA00963169493
GA00882264122	GA00982168694
GA00882265072	GA00930307378
GA00882265102	
GA00882265552	
GA00882267342	
GA00882268942	
GA00882270092	GA00989050230
GA00882271242	
GA00882275612	
GA00882276252	GA00963325096
GA00882280012	
GA00882281132	
GA00882281272	
GA00882287092	
GA00882288072	GA00962277055
GA00882288102	
GA00882288412	
GA00882291782	GA00937278691
GA00882296342	GA00811413682
GA00882296792	
GA00882310272	GA00989018426
GA00882311252	
GA00882313042	
GA00882313832	
GA00882316092	GA00912774244
GA00882319652	GA00993914592
GA00882320332	GA00994420291
GA00882321622	GA00989048090
GA00882322432	GA00975996255
GA00882322572	GA00988933872
GA00882325792	
GA00882331342	GA00977309883
GA00882332772	GA00983793754
GA00882338142	
GA00882338312	
GA00882340252	GA00988925128
GA00882342492	GA00879609232
GA00882343162	
GA00882343642	
GA00882344002	GA00989252933
GA00882348032	GA00986468722
GA00882348202	GA00986295011
GA00882349322	GA00937052766
GA00882349632	
GA00882353052	
GA00882354202	
GA00882354482	
GA00882354512	
GA00882356612	GA00982292328
GA00882358542	
GA00882359212	GA00887964092
GA00882362442	
GA00882366502	
GA00882366812	GA00983100767
GA00882367002	
GA00882369692	GA00979977123
GA00882370542	GA00992127201
GA00882372472	
GA00882373622	
GA00882377342	
GA00882382222	
GA00882384462	GA00958159528
GA00882388832	GA00989218964
GA00882390292	
GA00882390802	GA00982390710
GA00882394832	
GA00882395162	GA00989041010
GA00882396622	
GA00882396932	
GA00882398722	GA00988711012
GA00882401472	GA00988461008
GA00882402002	
GA00882403122	GA00956427592
GA00882403572	GA00989256688
GA00882404102	
GA00882405052	
GA00882405982	GA00932724251
GA00882406032	
GA00882406172	
GA00882408442	
GA00882410692	
GA00882413292	
GA00882415252	
GA00882416852	
GA00882420922	
GA00882422062	GA00989273973
GA00882425312	GA00975941043
GA00882433862	GA00979340354
GA00882440842	GA00986954562
GA00882441202	
GA00882444562	
GA00882445402	GA00989059165
GA00882452522	
GA00882456382	GA00979329962
GA00882456412	GA00989071874
GA00882457672	
GA00882465632	GA00982465583
GA00882466132	
GA00882467562	GA00976741927
GA00882469352	GA00982813085
GA00882470032	
GA00882472442	
GA00882480682	
GA00882480992	GA00992402490
GA00882482502	
GA00882483312	
GA00882483932	GA00981905229
GA00882489302	GA00946761303
GA00882495752	
GA00882497542	
GA00882500012	
GA00882503852	
GA00882503992	
GA00882504182	
GA00882504352	
GA00882505952	
GA00882507262	GA00945733918
GA00882507602	
GA00882511642	
GA00882511812	
GA00882512142	
GA00882514102	GA00992587776
GA00882515672	GA00889116242
GA00882526712	
GA00882528022	
GA00882529762	
GA00882530582	GA00988233919
GA00882537552	
GA00882537692	
GA00882545202	GA00989238922
GA00882547582	
GA00882552772	GA00986941185
GA00882555542	GA00981127633
GA00882555992	
GA00882560562	GA00932925753
GA00882561402	
GA00882562352	
GA00882564592	
GA00882564762	GA00882247082
GA00882569462	
GA00882570142	GA00957920764
GA00882571432	GA00989078364
GA00882574512	
GA00882575772	
GA00882577252	
GA00882578402	GA00819731322
GA00882580172	
GA00882581802	GA00989031600
GA00882583112	GA00988390143
GA00882583252	
GA00882585182	
GA00882591492	
GA00882593282	
GA00882600602	
GA00882600882	
GA00882601382	GA00984602251
GA00882601412	GA00984602251
GA00882603202	GA00980660257
GA00882606392	
GA00882612392	
GA00882667162	
GA00882668592	
GA00882669572	GA00982783666
GA00882670082	
GA00882672522	
GA00882673022	
GA00882674932	GA00982156823
GA00882677532	GA00977197791
GA00882678032	
GA00882682102	
GA00882683222	
GA00882684032	
GA00882686132	
GA00882686612	
GA00882686922	GA00939692460
GA00882689832	GA00939099727
GA00882691462	GA00981481909
GA00882692302	
GA00882693562	
GA00882694992	
GA00882695522	
GA00882695662	
GA00882697142	
GA00882697282	
GA00882699102	GA00983402747
GA00882701212	GA00936180159
GA00882701832	
GA00882702472	
GA00882703282	GA00995636913
GA00882703592	GA00882583252
GA00882703762	
GA00882704432	
GA00882706672	GA00982706645
GA00882706702	GA00989092804
GA00882707512	
GA00882711102	
GA00882711722	
GA00882712362	
GA00882714462	
GA00882715612	
GA00882718662	
GA00882719472	
